time,hy_grad,avg_flux,Sensor(-0.55m),Sensor(-0.45m),Sensor(-0.35m),Sensor(-0.25m),Sensor(-0.15m),Sensor(-0.05m)
4/5/2017 15:59,0.023112245,-0.021209684,-0.02296396,-0.02279427,-0.02253826,-0.02215542,-0.02122343,-0.01371804
4/5/2017 16:59,0.025935374,-0.023751583,-0.02571785,-0.02552639,-0.02523806,-0.02480809,-0.02376567,-0.01536227
4/5/2017 17:59,0.035442177,-0.03230312,-0.03497749,-0.03471568,-0.03432242,-0.03373771,-0.03232361,-0.02089624
4/5/2017 18:59,0.03207483,-0.029316013,-0.03174282,-0.03150442,-0.03114717,-0.03061705,-0.02933581,-0.01896566
4/5/2017 19:59,0.038129252,-0.03477124,-0.03764816,-0.03736525,-0.03694207,-0.03631463,-0.03479717,-0.02249726
4/5/2017 20:59,0.047108844,-0.042867796,-0.04641138,-0.04606369,-0.04554382,-0.04477257,-0.04290387,-0.02773905
4/5/2017 21:59,0.045034014,-0.041032571,-0.04442309,-0.04409085,-0.04359414,-0.04285679,-0.04106867,-0.02655245
4/5/2017 22:59,0.054353741,-0.049421156,-0.05350189,-0.05310363,-0.05250734,-0.0516208,-0.04946769,-0.0319827
4/5/2017 23:59,0.044982993,-0.041030124,-0.04441799,-0.04408763,-0.04359273,-0.04285654,-0.04106857,-0.02655198
4/6/2017 0:59,0.046615646,-0.042486553,-0.04599371,-0.04565242,-0.04514056,-0.04437857,-0.04252739,-0.02749518
4/6/2017 1:59,0.046037415,-0.041962079,-0.04542547,-0.04508896,-0.04458377,-0.04383128,-0.04200282,-0.02715589
4/6/2017 2:59,0.030306122,-0.027831369,-0.03012907,-0.02990557,-0.0295701,-0.02907059,-0.02785775,-0.01801067
4/6/2017 3:59,0.01329932,-0.012561325,-0.01359982,-0.01349807,-0.01334578,-0.01311949,-0.01257161,-0.008127586
4/6/2017 4:59,0.001292517,-0.001793687,-0.001944135,-0.001928374,-0.001905399,-0.001871873,-0.001792631,-0.001158449
4/6/2017 5:59,-0.002840136,0.001906175,0.002061889,0.002047608,0.002025616,0.001992313,0.001909859,0.001235053
4/6/2017 6:59,-0.005289116,0.004117557,0.004456963,0.004424402,0.004375185,0.004301539,0.004121914,0.002664782
4/6/2017 7:59,-0.012210884,0.010329981,0.01118277,0.01110032,0.01097609,0.01079063,0.01033937,0.006684089
4/6/2017 8:59,-0.018605442,0.016044861,0.01736977,0.01724148,0.01704834,0.0167601,0.01605908,0.01038169
4/6/2017 9:59,-0.013809524,0.011744835,0.01271548,0.01262114,0.0124793,0.01226785,0.01175428,0.007598536
4/6/2017 10:59,-0.01414966,0.012046257,0.01304189,0.01294507,0.01279954,0.0125826,0.01205586,0.007793539
4/6/2017 11:59,-0.009251701,0.007666321,0.008300578,0.008238623,0.008145644,0.008007198,0.007671693,0.004959258
4/6/2017 12:59,-0.002840136,0.001922299,0.002082495,0.002066363,0.002042412,0.002007002,0.001922251,0.001242301
4/6/2017 13:59,-0.001020408,0.000286313,0.000311215,0.00030829,0.000304155,0.000298248,0.000285032,0.000183938
4/6/2017 14:59,0.001037415,-0.001572423,-0.001701286,-0.001689213,-0.001670852,-0.001643253,-0.001574994,-0.001018323
4/6/2017 15:59,0.015867347,-0.014864924,-0.01609161,-0.01597342,-0.01579518,-0.01552876,-0.01487868,-0.009618227
4/6/2017 16:59,0.01755102,-0.016381447,-0.01773438,-0.01760356,-0.0174064,-0.01711198,-0.01639537,-0.01059875
4/6/2017 17:59,0.007431973,-0.007307337,-0.007911395,-0.007852706,-0.007764418,-0.007632742,-0.007312947,-0.004727367
4/6/2017 18:59,0.017363946,-0.016220091,-0.01756067,-0.01743039,-0.01723434,-0.01694211,-0.01623306,-0.01049428
4/6/2017 19:59,0.019030612,-0.017714097,-0.01917802,-0.01903563,-0.01882143,-0.01850238,-0.01772866,-0.0114615
4/6/2017 20:59,0.014540816,-0.013671992,-0.014802,-0.01469196,-0.01452653,-0.01428028,-0.01368315,-0.008846084
4/6/2017 21:59,0.008316327,-0.008095794,-0.008765369,-0.008699962,-0.008601774,-0.008455732,-0.008101865,-0.005237631
4/6/2017 22:59,0.004693878,-0.004842144,-0.005242799,-0.005203583,-0.005144767,-0.005057327,-0.004845561,-0.003132439
4/6/2017 23:59,-0.009489796,0.007881614,0.00853159,0.008468734,0.008374102,0.008233104,0.007889937,0.005101297
4/7/2017 0:59,-0.004506803,0.003415,0.003697556,0.003669812,0.003628288,0.003566664,0.003417508,0.002209377
4/7/2017 1:59,-0.015136054,0.012947853,0.01401763,0.01391328,0.01375673,0.01352395,0.01295915,0.008378224
4/7/2017 2:59,-0.025714286,0.022432997,0.02428522,0.02410516,0.02383464,0.02343203,0.02245399,0.01451696
4/7/2017 3:59,-0.028809524,0.025194123,0.02727405,0.02707203,0.02676841,0.02631638,0.02521796,0.0163039
4/7/2017 4:59,-0.021751701,0.018861907,0.0204202,0.02026837,0.02004046,0.0197014,0.01887839,0.01220486
4/7/2017 5:59,-0.016173469,0.013854901,0.01500034,0.01488839,0.01472055,0.01447104,0.01386604,0.008964104
4/7/2017 6:59,-0.012482993,0.010554803,0.01142786,0.01134234,0.01121424,0.01102391,0.01056275,0.006828444
4/7/2017 7:59,2.94E-03,-0.003261959,-0.003529018,-0.003504067,-0.003465968,-0.003408677,-0.003267697,-0.002113365
4/7/2017 8:59,0.012670068,-0.011979137,-0.01296638,-0.01287118,-0.01272769,-0.01251367,-0.01199257,-0.007754138
4/7/2017 9:59,0.018469388,-0.017188611,-0.01860677,-0.01846943,-0.01826279,-0.01795489,-0.01720586,-0.01112412
4/7/2017 10:59,0.026989796,-0.024832314,-0.02688286,-0.02668388,-0.02638469,-0.02593893,-0.02485472,-0.0160682
4/7/2017 11:59,0.039880952,-0.036422149,-0.03943169,-0.03913918,-0.03869948,-0.03804439,-0.03645229,-0.02356504
4/7/2017 12:59,0.028690476,-0.026383316,-0.02856559,-0.02835285,-0.0280333,-0.02755746,-0.02640213,-0.01706697
4/7/2017 13:59,0.035969388,-0.032971177,-0.03570041,-0.03543379,-0.03503343,-0.03443751,-0.03299194,-0.02132609
4/7/2017 14:59,0.034098639,-0.031323251,-0.03391768,-0.03366374,-0.03328258,-0.03271548,-0.03134086,-0.02025834
4/7/2017 15:59,0.026530612,-0.024552384,-0.02658756,-0.02638781,-0.02608825,-0.02564284,-0.02456419,-0.01587746
4/7/2017 16:59,0.025595238,-0.023719736,-0.02568572,-0.0254925,-0.02520288,-0.02477256,-0.02373174,-0.01534025
4/7/2017 17:59,0.014846939,-0.014038465,-0.01520239,-0.01508761,-0.01491581,-0.01466087,-0.0140454,-0.009079303
4/7/2017 18:59,0.025085034,-0.02330107,-0.02522985,-0.02504025,-0.02475632,-0.02433503,-0.02331702,-0.01507468
4/7/2017 19:59,0.012908163,-0.012297503,-0.01331558,-0.01321513,-0.01306499,-0.01284257,-0.0123061,-0.007956444
4/7/2017 20:59,0.016445578,-0.015499629,-0.01678099,-0.01665485,-0.01646634,-0.01618714,-0.01551311,-0.01003096
4/7/2017 21:59,0.018537415,-0.01738674,-0.01882232,-0.01868144,-0.01847089,-0.01815895,-0.01740425,-0.0112543
4/7/2017 22:59,0.022738095,-0.021176317,-0.02292282,-0.02275217,-0.02249698,-0.02211845,-0.02119996,-0.01370876
4/7/2017 23:59,0.01202381,-0.011501352,-0.01245048,-0.01235746,-0.01221856,-0.0120127,-0.01151352,-0.007444904
4/8/2017 0:59,0.010765306,-0.010356787,-0.01121131,-0.01112766,-0.01100274,-0.0108175,-0.01036786,-0.00670395
4/8/2017 1:59,0.019234694,-0.017999674,-0.01948311,-0.01933888,-0.01912297,-0.01880199,-0.01802062,-0.01165213
4/8/2017 2:59,0.035527211,-0.032676959,-0.03536854,-0.03510835,-0.03471778,-0.03413557,-0.03271588,-0.02115327
4/8/2017 3:59,0.019608844,-0.018306231,-0.01981488,-0.0196689,-0.01944974,-0.01912303,-0.01832695,-0.01184937
4/8/2017 4:59,0.012244898,-0.011672291,-0.0126348,-0.01254145,-0.01240141,-0.01219273,-0.01168479,-0.007554699
4/8/2017 5:59,0.006564626,-0.006554721,-0.007095796,-0.007043053,-0.006964077,-0.00684657,-0.006561078,-0.004241896
4/8/2017 6:59,0.00537415,-0.005461767,-0.005912359,-0.005868552,-0.005802881,-0.005705114,-0.00546738,-0.00353489
4/8/2017 7:59,0.004353741,-0.004540035,-0.004914476,-0.004878114,-0.004823577,-0.004742374,-0.004544834,-0.002938477
4/8/2017 8:59,0.00542517,-0.0055014,-0.005954637,-0.005910892,-0.005845107,-0.005746987,-0.005507768,-0.003561121
4/8/2017 9:59,0.011666667,-0.011123051,-0.01203928,-0.01195116,-0.01181837,-0.01162003,-0.01113592,-0.00719977
4/8/2017 10:59,0.012278912,-0.011675169,-0.01263756,-0.01254493,-0.01240533,-0.01219675,-0.01168764,-0.007555935
4/8/2017 11:59,0.018962585,-0.017682436,-0.01914141,-0.01900088,-0.01878894,-0.01847212,-0.01769918,-0.01144143
4/8/2017 12:59,0.030884354,-0.028420304,-0.03076832,-0.03054155,-0.03019944,-0.02968812,-0.02844301,-0.01838555
4/8/2017 13:59,0.025,-0.023124147,-0.02503704,-0.02485153,-0.02457186,-0.02415428,-0.02313954,-0.01495673
